recurso,src,url,description,tags,fecha
imet_2025-05-30,img/imet2.png,https://tableros.yvera.tur.ar/recursos/biblioteca/imet_2025-05-30.pdf,Evolución de los principales indicadores de la actividad turística (MAYO 2025),Estadísticas Turísticas,2025-05-30
imet_2025-04-30,img/imet2.png,https://tableros.yvera.tur.ar/recursos/biblioteca/imet_2025-04-30.pdf,Evolución de los principales indicadores de la actividad turística (ABRIL 2025),Estadísticas Turísticas,2025-04-30
imet_2025-03-31,img/imet2.png,https://tableros.yvera.tur.ar/recursos/biblioteca/imet_2025-03-31.pdf,Evolución de los principales indicadores de la actividad turística (MARZO 2025),Estadísticas Turísticas,2025-03-31
imet_2025-02-28,img/imet2.png,https://tableros.yvera.tur.ar/recursos/biblioteca/imet_2025-02-28.pdf,Evolución de los principales indicadores de la actividad turística (FEBRERO 2025),Estadísticas Turísticas,2025-02-28
imet_2025-01-31,img/imet2.png,https://tableros.yvera.tur.ar/recursos/biblioteca/imet_2025-01-31.pdf,Evolución de los principales indicadores de la actividad turística (ENERO 2025),Estadísticas Turísticas,2025-01-31
imet_2024-12-30,img/imet2.png,https://tableros.yvera.tur.ar/recursos/biblioteca/imet_2024-12-30.pdf,Evolución de los principales indicadores de la actividad turística (DICIEMBRE 2024),Estadísticas Turísticas,2024-12-30
imet_2024-11-29,img/imet2.png,https://tableros.yvera.tur.ar/recursos/biblioteca/imet_2024-11-29.pdf,Evolución de los principales indicadores de la actividad turística (NOVIEMBRE 2024),Estadísticas Turísticas,2024-11-29
imet_2024-10-31,img/imet2.png,https://tableros.yvera.tur.ar/recursos/biblioteca/imet_2024-10-31.pdf,Evolución de los principales indicadores de la actividad turística (OCTUBRE 2024),Estadísticas Turísticas,2024-10-31
imet_2024-09-30,img/imet2.png,https://tableros.yvera.tur.ar/recursos/biblioteca/imet_2024-09-30.pdf,Evolución de los principales indicadores de la actividad turística (SEPTIEMBRE 2024),Estadísticas Turísticas,2024-09-30
imet_2024-08-30,img/imet2.png,https://tableros.yvera.tur.ar/recursos/biblioteca/imet_2024-08-30.pdf,Evolución de los principales indicadores de la actividad turística (AGOSTO 2024),Estadísticas Turísticas,2024-08-30
